CELL,TECHNOLOGY,CLUSTERTYPE,PROVINCE
1001A,2G,Premium,GAUTENG
1001A1,3G,Premium,GAUTENG
1001A2,3G,Premium,GAUTENG
1001B,2G,Premium,GAUTENG
1001B1,3G,Premium,GAUTENG
1001B2,3G,Premium,GAUTENG
1001C,2G,Premium,GAUTENG
1001C1,3G,Premium,GAUTENG
1001C2,3G,Premium,GAUTENG
1002A,2G,High,GAUTENG
1002A1,3G,High,GAUTENG
1002A2,3G,High,GAUTENG
1002B,2G,High,GAUTENG
1002B1,3G,High,GAUTENG
1002B2,3G,High,GAUTENG
1002C,2G,High,GAUTENG
1002C1,3G,High,GAUTENG
1002C2,3G,High,GAUTENG
1003A,2G,Premium,FREE STATE
1003A1,3G,Premium,FREE STATE
1003A2,3G,Premium,FREE STATE
1003B,2G,Premium,FREE STATE
1003B1,3G,Premium,FREE STATE
1003B2,3G,Premium,FREE STATE
1003C,2G,Premium,FREE STATE
1003C1,3G,Premium,FREE STATE
1003C2,3G,Premium,FREE STATE
1004A,2G,Good,LIMPOPO
1004A1,3G,Good,LIMPOPO
1004A2,3G,Good,LIMPOPO
1004B,2G,Good,LIMPOPO
1004B1,3G,Good,LIMPOPO
1004B2,3G,Good,LIMPOPO
1004C,2G,Good,LIMPOPO
1004C1,3G,Good,LIMPOPO
1004C2,3G,Good,LIMPOPO
1005A,2G,Good,NORTH WEST
1005A1,3G,Good,NORTH WEST
1005A2,3G,Good,NORTH WEST
1005B,2G,Good,NORTH WEST
1005B1,3G,Good,NORTH WEST
1005B2,3G,Good,NORTH WEST
1005C,2G,Good,NORTH WEST
1005C1,3G,Good,NORTH WEST
1005C2,3G,Good,NORTH WEST
10066A,2G,Premium,GAUTENG
10066A1,3G,Premium,GAUTENG
10066A2,3G,Premium,GAUTENG
10066B,2G,Premium,GAUTENG
10066B1,3G,Premium,GAUTENG
10066B2,3G,Premium,GAUTENG
10066C,2G,Premium,GAUTENG
10066C1,3G,Premium,GAUTENG
10066C2,3G,Premium,GAUTENG
10068A1,3G,Good,KWAZULU-NATAL
1006A,2G,High,LIMPOPO
1006A1,3G,High,LIMPOPO
1006A2,3G,High,LIMPOPO
1006A3,3G,High,LIMPOPO
1006B,2G,High,LIMPOPO
1006B1,3G,High,LIMPOPO
1006B2,3G,High,LIMPOPO
1006B3,3G,High,LIMPOPO
1006C,2G,High,LIMPOPO
1006C1,3G,High,LIMPOPO
1006C2,3G,High,LIMPOPO
1006C3,3G,High,LIMPOPO
1007A,2G,Good,NORTH WEST
1008A,2G,High,WESTERN CAPE
1008B,2G,High,WESTERN CAPE
1009A,2G,Premium,GAUTENG
1009B,2G,Premium,GAUTENG
1009C,2G,Premium,GAUTENG
100A,2G,High,WESTERN CAPE
100B,2G,High,WESTERN CAPE
100C,2G,High,WESTERN CAPE
1010A,2G,Premium,GAUTENG
1010A1,3G,Premium,GAUTENG
1010A2,3G,Premium,GAUTENG
1010B,2G,Premium,GAUTENG
1010B1,3G,Premium,GAUTENG
1010B2,3G,Premium,GAUTENG
1010C,2G,Premium,GAUTENG
1010C1,3G,Premium,GAUTENG
1010C2,3G,Premium,GAUTENG
1011A,2G,Good,NORTHERN CAPE
1011A1,3G,Good,NORTHERN CAPE
1011A2,3G,Good,NORTHERN CAPE
1011B,2G,Good,NORTHERN CAPE
1011B1,3G,Good,NORTHERN CAPE
1011B2,3G,Good,NORTHERN CAPE
1011C,2G,Good,NORTHERN CAPE
1011C1,3G,Good,NORTHERN CAPE
1011C2,3G,Good,NORTHERN CAPE
1012A,2G,High,LIMPOPO
1012B,2G,High,LIMPOPO
1012C,2G,High,LIMPOPO
10134A1,3G,Premium,WESTERN CAPE
10134A2,3G,Premium,WESTERN CAPE
10134B1,3G,Premium,WESTERN CAPE
10134B2,3G,Premium,WESTERN CAPE
1013A,2G,High,LIMPOPO
1013A1,3G,High,LIMPOPO
1013B,2G,High,LIMPOPO
1013B1,3G,High,LIMPOPO
1013C,2G,High,LIMPOPO
1013C1,3G,High,LIMPOPO
1014A,2G,Good,EASTERN CAPE
1014B,2G,Good,EASTERN CAPE
1014C,2G,Good,EASTERN CAPE
1015A,2G,Good,WESTERN CAPE
1015B,2G,Good,WESTERN CAPE
1016A,2G,Good,EASTERN CAPE
1016A1,3G,Good,EASTERN CAPE
1016B,2G,Good,EASTERN CAPE
1016B1,3G,Good,EASTERN CAPE
1016C,2G,Good,EASTERN CAPE
1016C1,3G,Good,EASTERN CAPE
1017A,2G,Good,EASTERN CAPE
1017B,2G,Good,EASTERN CAPE
1017C,2G,Good,EASTERN CAPE
10180A,2G,Premium,KWAZULU-NATAL
10180A1,3G,Premium,KWAZULU-NATAL
10180A2,3G,Premium,KWAZULU-NATAL
10180B,2G,Premium,KWAZULU-NATAL
10180B1,3G,Premium,KWAZULU-NATAL
10180B2,3G,Premium,KWAZULU-NATAL
10180C,2G,Premium,KWAZULU-NATAL
10180C1,3G,Premium,KWAZULU-NATAL
10180C2,3G,Premium,KWAZULU-NATAL
1018A,2G,Good,EASTERN CAPE
1019A,2G,Good,EASTERN CAPE
1019B,2G,Good,EASTERN CAPE
1019C,2G,Good,EASTERN CAPE
101A,2G,High,WESTERN CAPE
101A1,3G,High,WESTERN CAPE
101A2,3G,High,WESTERN CAPE
101B,2G,High,WESTERN CAPE
101B1,3G,High,WESTERN CAPE
101B2,3G,High,WESTERN CAPE
101C,2G,High,WESTERN CAPE
101C1,3G,High,WESTERN CAPE
101C2,3G,High,WESTERN CAPE
1020A,2G,Good,EASTERN CAPE
1020B,2G,Good,EASTERN CAPE
1021A,2G,Good,EASTERN CAPE
1021A1,3G,Good,EASTERN CAPE
1021B,2G,Good,EASTERN CAPE
1021B1,3G,Good,EASTERN CAPE
1021C,2G,Good,EASTERN CAPE
1021C1,3G,Good,EASTERN CAPE
1022A,2G,Good,NORTHERN CAPE
1023A,2G,Good,NORTHERN CAPE
1023B,2G,Good,NORTHERN CAPE
1023C,2G,Good,NORTHERN CAPE
10243A,2G,High,LIMPOPO
10243A1,3G,High,LIMPOPO
10243A2,3G,High,LIMPOPO
10243B,2G,High,LIMPOPO
10243B1,3G,High,LIMPOPO
10243B2,3G,High,LIMPOPO
10243C,2G,High,LIMPOPO
10243C1,3G,High,LIMPOPO
10243C2,3G,High,LIMPOPO
1024A,2G,Good,NORTHERN CAPE
1024B,2G,Good,NORTHERN CAPE
10256A1,3G,Premium,GAUTENG
10256A2,3G,Premium,GAUTENG
10256B1,3G,Premium,GAUTENG
10256B2,3G,Premium,GAUTENG
10256C1,3G,Premium,GAUTENG
10256C2,3G,Premium,GAUTENG
1025A,2G,Good,NORTHERN CAPE
1025B,2G,Good,NORTHERN CAPE
10268D1,3G,Premium,GAUTENG
10268D2,3G,Premium,GAUTENG
1026A,2G,High,LIMPOPO
1026B,2G,High,LIMPOPO
1026C,2G,High,LIMPOPO
1027A,2G,Good,MPUMALANGA
1027B,2G,Good,MPUMALANGA
1027C,2G,Good,MPUMALANGA
1028A,2G,Good,KWAZULU-NATAL
1028B,2G,Good,KWAZULU-NATAL
1028C,2G,Good,KWAZULU-NATAL
1029A,2G,High,WESTERN CAPE
1029A1,3G,High,WESTERN CAPE
1029A2,3G,High,WESTERN CAPE
1029B,2G,High,WESTERN CAPE
1029B1,3G,High,WESTERN CAPE
1029B2,3G,High,WESTERN CAPE
1029C,2G,High,WESTERN CAPE
1029C1,3G,High,WESTERN CAPE
1029C2,3G,High,WESTERN CAPE
102A,2G,High,WESTERN CAPE
102A1,3G,High,WESTERN CAPE
102A2,3G,High,WESTERN CAPE
102B,2G,High,WESTERN CAPE
102B1,3G,High,WESTERN CAPE
102B2,3G,High,WESTERN CAPE
102C,2G,High,WESTERN CAPE
102C1,3G,High,WESTERN CAPE
102C2,3G,High,WESTERN CAPE
1030A,2G,Premium,GAUTENG
1030A1,3G,Premium,GAUTENG
1030A2,3G,Premium,GAUTENG
1030B,2G,Premium,GAUTENG
1030B1,3G,Premium,GAUTENG
1030B2,3G,Premium,GAUTENG
1030C,2G,Premium,GAUTENG
1030C1,3G,Premium,GAUTENG
1030C2,3G,Premium,GAUTENG
1031A,2G,High,GAUTENG
1031A1,3G,High,GAUTENG
1031A2,3G,High,GAUTENG
1031B,2G,High,GAUTENG
1031B1,3G,High,GAUTENG
1031B2,3G,High,GAUTENG
1031C,2G,High,GAUTENG
1031C1,3G,High,GAUTENG
1031C2,3G,High,GAUTENG
1032A,2G,High,GAUTENG
1032A1,3G,High,GAUTENG
1032A2,3G,High,GAUTENG
1032B,2G,High,GAUTENG
1032B1,3G,High,GAUTENG
1032B2,3G,High,GAUTENG
1032C,2G,High,GAUTENG
1032C1,3G,High,GAUTENG
1032C2,3G,High,GAUTENG
1033A,2G,Good,EASTERN CAPE
1034A,2G,High,KWAZULU-NATAL
1034A1,3G,High,KWAZULU-NATAL
1034A2,3G,High,KWAZULU-NATAL
1034B,2G,High,KWAZULU-NATAL
1034B1,3G,High,KWAZULU-NATAL
1034B2,3G,High,KWAZULU-NATAL
1034C,2G,High,KWAZULU-NATAL
1034C1,3G,High,KWAZULU-NATAL
1034C2,3G,High,KWAZULU-NATAL
1035A,2G,Premium,KWAZULU-NATAL
1035A1,3G,Premium,KWAZULU-NATAL
1035A2,3G,Premium,KWAZULU-NATAL
1035B,2G,Premium,KWAZULU-NATAL
1035B1,3G,Premium,KWAZULU-NATAL
